userName,content
Alip Darmawan _3D,"tidak bisa registrasi, padahal nomor sudah benar, aktif,l dan terdaftar. muncul popup warning network alert padahal koneksi internet tersambung, berjalan, dan lancar. tolong kasih solusi."
Dandy Pratama,sekelas BUMN aplikasinya seperti ini😅 registrasi aja error terus token tidak muncul (Via Whastapp / SMS) sudah ganti nomor juga gak muncul.. payah sekali👎
Mascenk,"udah dua kali pake jasa layanan kantor tapi sangat mengecewakan masa ngirim barang udah 12 hari kaga nyampe lemot banget nyesel banget asli sumpah terakhir ini saja make layanan kantor pos buat kalian coba pikir"" dulu untuk pake jasa kantor pos sebelum kecewa. bukanya di benahi kecepatan pengiriman tambah kesini tambah seenak jidatnya kaya gak punya rasa tanggung jawab."
S Indah Lestari,"aplikasi ini sebenernya bagus dan cukup membantu pengiriman paket tetapi saat dipilih pembayaran qris dan klik tampilkan kode qris aplikasi selalu logout trus,begitupun pembayaran sepertinya harus dari bank plat merah saja.mungkin bisa dibantu develop nih tim IT nya biar tidak menyusahkan penggunanya"
bony boo,"pengiriman paling lelet sangat mengecewakan padahal paket udah nyampe di kota tujuan tapi malah di simpan di gudang berhari"" bukan malah di antar ke alamat cukup sekali ini aja pake layanan kantor poss sumpah nyesel banget"
Thania Agustin,"aplikasi yang aneh minta di picup malah gak dateng"" akhirnya ke kantor posnya malah suruh bayar lagi dengan harga yang sama kalau mau kirim barangnya rugi dong kalau gini dan dana yang udah dibayarkan di aplikasi gak balik beda sama ekspedisi yang sebelah gak kaya gini"
Beruang Madu,"apakah biasa loading tidak jelas saat masuk ke aplikasi, hanya untuk cek resi tidak bisa dicek. tolong diperbaiki lagi aplikasinya. terimakasih"
J Prasetyo,"Pulihkan Akun tidak bisa, Kode OTP gak masuk di SMS maupun WA walaupun kirim ulang 100x. Buat akun baru nomer telpon baru sudah bisa pas masuk log in internal error, akun & pasword gak di temukan. BUMN kok kek gini."
Dearna,"jangan berharap lebih kode otp udah masukin bener katanya salah pin udah masukin bener katanya salah mau cek resi ""tidak ditemukan"" serius apa enggak bikin aplikasi ini?"
jamarr jr,"nyesel pake jasa ini ,,barang kaga sampe² saran buat kalian kalo narang yg dikirim penting dan urgen mending yg lain aja"
tasya ayunda,"aplikaainya bagus, hanya saja kalau kalau pagi sampai sore susah sekali create data tulisan baner gagal mlulu, gg sembuh2 giliran bisa, kantor pos nya dah tutup... jadi ya kiriman nya pending jadi 2 hari"
Sondi Yusuf,Tidak ada fitur login. Mau pulihkan akun tapi kode verifikasi tidak dikirim. Registrasi pakai nomor lain juga kode verifikasi tidak masuk
muk ijun,"aplikasi apaan ini ??? mau daftar ny aja ga bisa2, udah 20 kali lebih minta kirim kode verfikasih tapi gada masuk2 juga kode ny"
Gelfin Elvano,mau daftar aj susah no verivikasi nya ndak dikirim ke WhatsApp. aplikasi apaan gini udh pengiriman nya kaya hp mentok logoo😡
Nadia Anggraeni,"paket saya di apk jam 2 siang sudah otw diantar kerumah, tapi sampe jam set 8 malam belum juga datang,padahal pake pengiriman yang 1 hari nyampe"
Boaz Franco,aplikasi apa ini mau tracking paket aja susahnya minta ampun udh nyoba call center malah gak di respon itu paket udah saya bayar malah gini pelayanan nya
Ajat Sudrajat,"begini amat kualitas BUMN ya..... modalnya kan pake duit rakyat, pantesan BUMN rugi mulu, d saat sektor swasta bersaing ketat, ini malah jalan d tempat. tutup aja, mending buat hal lain yg lebih manfaat....."
Agustina Haryati,"susah di hubungin gak kayak jasa pengiriman lain ada chat untuk bertanya dan pengabdian, di telfon tidak ada jawaban layanan"
Agiel Prastica Adhi,"Jasa aneh, resi dicek di aplikasi udah sampai kantor administrasi tapi ditunggu sampai 4 hari, barang ngga sampai rumah trus mau cek resi lewat apk keterangan ""Error"" nyesel milih jasa ini"
kambing Bagus8,"Aplikasi paling jelek yang pernah saya temui, login sering eror, fitur ngga jelas, cs nya hanya telpon dan email itupun responnya lama, FAQ nya cuman singkat, jelek lah intinya"
Eko Setyono,"kocak banget.. regritasi masukin nomor telpon. biar dapwt kode otp.. kode otp sudah dapat terus saya masukin malah muncul keterangan kode tidak valid.. membagongkan. di coba beberapa kali minta otp ulang tetep tidak valid. lucu banget nih aplikasi.. lu yang kirim kode, giliran di gunakan kok tidak valid aneh."
Ady Magica,"kalo blom bisa bkin aplikasi, mending hapus aja. paket 2 hari gk dikirim2. pesanan sdg di antar tpi smpe skrg blom ada juga. itu kurir nya nganter apa gak. setidak nya kan bisa di tlp. nmor hp kan ada di paket nya buat di hubungi"
Mbak Milu,aplikasi kurang lengkap chat center nya apa LG bagian pelayanan kurang di daerah punggaluku Sultra Konawe selatan Return paket tanpa informasi .
Remon Cruy,"nyesel pake jasa pos ini ,barang saya gak sampai"" ! giliran di cek resi ,status lagi pengantaran lokasi tetapi gak sampai. sehabis itu pasti keluar Alamat tidak di ketemukan oleh kurir ...sampe 4x ganti nama kurir masa gak ada yg bisa nemuin alamat saya ,padahal disitu ada tulisan besar ...apa jangan"" kurir sama karyawan nya pada goblok gak bisa baca !!!"
Jael Siraru,"Apk tertolol menurut gw ya ini, PosAja, kenapa gw bilang tolol? karena pas daftar dan masukin nomer handphone buat dapetin kode otp, kode otp masuk lewat wa, tapi pas gw masukin kodenya malah invalid kode dong. kocak emang..🤣"
Al Anwar,"pelayanan pengiriman paket via kantor pos sangat sangat sangat jelek sekali. ayah saya ngirim barang dari kampung dg biaya hampir setengah juta, pas datang barang rusak total. sedih sekali dg pelayanan pos indonesia."
Albert Denion,"Gajelas padahal dirumah selalu ad orang tapi status pengiriman nya ""paket akan diantar ulang karena rumah kosong"" bilng aja kurirnya pemalas gamau antar pake alasan rumah kosong segala"
Galih Fitria,"sudah order, tp tidak di pick up selama 3 hari, akhirnya datang langsung ke tempat, dan buat orderan baru, order yg di app saya minta cancel tp ongkos kirim gk dikembalikan, aplikasi isinya juga kosong banget, tidak lengkap, tidak jelas!"
Ilham Maulana,"pengiriman buruk, saya minta postnext day namun datang terlambat. kurir nya memberikan alasan yang tidak jelas dan tidak profesional. next saya tidak akan menggunakan lagi jasa pengiriman dari kantor pos ( pos aja ) karena banyak feedback buruk juga dari user lain"
Imam Petrucci,"aplikasi sampah 😂🤣 cek resi responnya selalu ""internal server error"". jd harus cek lewat website pos indonesia lngsng.. giliran d website d suruh download apk ini untuk lbh mudah 🤣😂.. emg produk buatan negara ini banyak yg g beres"
Riyan Purnomo,"gangguan terus, ada pengirim dari Samsat Lampung Timur ke bandar Lampung ga sampe², gaada pemberitahuan apa² dari pihak pos indonesia, minimal kirim pemberitahuan lewat email ."
Susilo Susilo,"awal awal pakai aplikasi ini lancar,, tapi akhir2 ini,, payah Barang tidak dikirim ke penerima, padahal alamat sudah jelas nomer WA sudah jelas,, eh giliran barang diambil sendiri ke kantor pos,uang CODnya tidak kunjung di stor ke pospay,, payah payah payah,,, lemot sel emotnya,,"
Meylan Dawola,"Aplikasi tidak lengkap,kebanyakan bermasalah,history pengiriman seharusnya lengkap,walaupun order telah di batalkan...Terus gimana pengembalian dana yg sudah di bayarkan di kembalikan?"
Saeful Pratama,bobrok sekali perusahaan sekelas BUMN tapi ngurus pegawai terutama KURIR yang selalu dan terus jadi permasalahan. masa iya si kurir pos Indonesia gk bisa ngejalanin SOP kerja yg bener. nganter paket gk pernah konfirmasi ke penerima. status paket sudah di terima tapi gk ada yg merasa menerima paket.!
Aqila Gunawan,absurd bngt ini aplikasi sekelas BUMN tapi prett bnget nunggu kurir jemput paket bisa sampe seharian gak datang padahal udah bayar Virtual account parahh bngt
Nadia Munajat,"aplikasi sudah baguss, tapi ada kendala saat melacak nomor resi kiriman. tolong diperbaiki aplikasi agar tidak error lagi, terimakasih 🙏🏻"
tamara maylyana,lihat bukti diterimanya emang se lemot ini ? bahkan sampe ga keliatan gambarnya :')) udh dicoba berulang kali. tolong diperbaiki ya 🙏
tjhang 11,"buang2 duit pemerintah saja perihara bumn seperti ini kerja ga jelas urusan kirim paket saja ga jelas,paket sudah 2minggu tidak jelasan kemana itu paket laporan tidak perna ada balasan"
taufik hidayat,fitur customer service / pengaduan tidak online ....harus menhgunakan kuota telp ....email tidak di respon ...pantes BUMN gak maju2 ....seburuk2 nya ekpedisi SWASTA masih lebih baik di banding POS INDONESIA !!!
Toko dianles,"tidak bisa registrasi, keterangan nya selalu kode otp tidak valid padahal yg di cantumkan sudah sesuai dan belum melebihi durasi yg diberikan. mohon bantuannya untuk perbaikan proses registrasi nya. terimakasih 🙏"
Razaky Razak,Susah daftarkan Akunnya.. Masa kita mau datftar Akun Tidak bisa2 di pakai kode otpnya.. padahal waktu belum hasis.. Tulisan nya tidak valid melulu.. tolong di perbaiki
Enjum ahay,"pengirimanya lama, udh minta yang sehari nyampe,malah alesan rumah kosong , udh di tunggu dari pagi smpe mlm ga ada tuh yg gedor2 pintu paket. mls bngt ga dapet garansi telat kirim lgi"
syaiful anwar791,"gimana mau maju pos indo,saingan banyak tp kualitas kurir sangat buruk.ada kurir yg bernama eri susanto (pos kawasan MM2100 )tiga hari membuat laporan bahwa rumah saya kosong jadi di antar ulang selama tiga hari .saya punya bukti.silahkan pihak pos konfirm saya klo merasa tidak terima"
Dinawahyu Safitry,"kenapa ngga bisa registrasi ya? pdhal nomor aktif,kode tidak valid semua, bahkan yg ngirim no kode lewaat wa nomor nya beda"""
Anggar Kuncoro,cok aplikasi eror terus sama aja seperti pospay mau bayar ongkir 8 ribu aja gagal terus tulisab saldo tidak cukup pdahal saldo saya 10 ribu
MGR _,"Masa dari jam 2 siang sampe jam 7 rumah belum ditemukan, malah antar ulang hari besoknya wah kecewa sih harusnya tgl 4 estimasi paling lambat malah ngendor di tgl 5 ffffaqqq"
K G,"bukti indonesia belum siap menghadapi digitalisasi. Saya udah isi udah order sampe berkali kali, itu juga kadang ada alert internal server error. Terus pas mau bayar malah gak bisa tampilkan QR, selalu force close. Gimana sih ini developer nya, udah mah tombol selesai nya di belakang tombol kembali. Bisa ngoding gak sih? Curiga aplikasi nya dibikin pake drag n drop doang ini mah"
Angga Supriyadi,"pelayanan sangat lamban! barang dari jakarta utara ke tangsel saja sudah 5 hari belum sampai masih muter saja dari depok balik lagi ke jakarta utara, jam 10 malam ini baru dikirim lagi dari hub jakarta utara entah sampai jam 5 subuh ini belum ada kejelasan lagi barang dikirim kemana. jakarta tangsel saja butuh waktu berapa hari? lebih baik fokus di pengiriman dokumen saja jika belum sanggup membuka jasa ekspedisi barang"
Qiyozer,sangat tidak rekomended. ah pokonya paling parah gila sih ini. sama sama bandung tapi nggak bisa aner si kurirnya bingung soal alamat. parah sih ini
