userName,content
fahrul fauzi,"kirim paket pos same day purworejo-tangerang netto 3,5kg ongkir 119000k blm sampai"" busett lma bgt mna mknan basah yg di krm lgi hadeuhh"
Abu Bakar,"ngirim.paket sangat lambat terutama kurir, paket sdh pengantaran skalinya siangnya ket alamat tdak ditemukan terus di kirim balik 4 hari setelah itu. padahal udah 2x ngirim paket, yg pertama seminggu aja nyampe skalinya yg ke 2 hampir sebulan. kok gak ada penilaian ke kurir ya"
Rojikin Benoa,"saya coba pake pos aja, untuk ngecek paket pesenan saya, tapi pas udah masukin no resi nya kenapa nggk bisa ya, tapi pemberitahuan dari toko ijo udah sampe tempat"
Eva Wardani,"Paket lama diantar. Cek resi keterangan nya ""yang bersangkutan tidak ditempat"". Padahal tidak ada dihubungi apalagi datang ke rumah. Bukti foto kedatangan pun dikamuflase (foto desa lain). Tolong tingkatkan SDMnya."
jais Yanto,"masak 2 pengiriman gagal terus,alamat rumah gak ketemu,kala sama pengiriman yang muda2.padahal pos paling tua di negara konoha.sampai saya ambil di kantor pos cabangnya"
Zaky Bae,"kayaknya tidak membantu pengen tanya tentang paket untuk mempercepat pengiriman juga susah jalurnya kemana menghubungi halo pos jawabannya sama gitu gitu ajah apalagi kalau pengiriman gagal gak jelas paketnya kapan di kirim, keterangan tiap hari selalu paket dikirim ulang entah sampai kapan"
Yetiira Triwulan,"pengiriman lelet bget, harusnya klo paket dg isi makanan itu lebih cepat dibanding isi paket lainnya.dan harusnya dari awal transaksi tarifnya di bedakan dari paket yg lain,trs klo non tunai harusnya lebih cepat dong daripada cod. ini mah terbalik yg cod malah lebih cepat datangnya.😔tolong setiap petugas yg nganterin paketan dicantumkan nomer hp nya jadi kita sebagai penerima bisa memantau posisi si kurir."
Robert Mahendra,"banyak bug, belum optimal aplikasinya, please di test dulu apa perlu pake unit testing, salah satu bugnya mau cetak resi malah error invalid pdf structure."
Neneng Alawiyah,"kargo haji dari istri saya, semenjak pertama pengiriman smpe hari ini sudah 15 hari, tpi belum bisa d lacak keberadaannya, gimana coba, ayo laaah yg becus kalo kerja"
dwi rama,aplikasi bobrok sudah bayar dana buat pengiriman barang kurir tak datang pihak pos ya tak tau klu kita mau kirim barang ..
project sim,"GAK KURIR NYA, GAK CS NYA, SEMUA PARAH PERLAYANAN NYA, ANGKA RETUR TINGGI KARNA KINERJA KURIR SEENAKNYA SENDIRI, TIDAK ADA KONFIRMASI DAHULU KE PENERIMA, BAHKAN UANG COD SERING DI PAKAI DULU OLEH KURIR, PADAHAL PAKET SUDAH DI TERIMA. BUMN EMANG BIBROK!! MENDING SWASTA"
gemoy 00,pakai apk ini susah regist nya.. kode tidak valid mulu udah coba beberapa kali.. pdahal br pengen pake layanan nextday nyaa.. dh gitu lihat review disini kok mengecewakan yaa ? alasannya hampir sama semua karna lambat pengiriman & krg layanan yg jelas.
Putra Manado,"Biaya pengiriman sangat mahal dr aplikasi se jenis. estimasi pengiriman 4 hari tpi sdah 1 mnggu brang belum di antar, nnti ambil sendiri di drop poin. Pake Jnt di tujuan yg sama dr jnt byarannya 56rb tp pake pos aja biayanya 148rb. 😥😥😥😥😥"
Fransiskus Liliek,Ayo lah POS. Ini adalah BUMN besar dan legend. Aplikasi Pos aja terlalu sering error. Tunjukkan lah pos memiliki sdm yang memadai.
Muhamad Denda,"coba tolong di perbaiki dari sistemnya jasa ekspedisi paling tua harusnya paling maju malah bobrok.. paket dokument penting ga sampe sampe kerumah.. dengan alasan yg ""bersangkutan tidak berhasil di kirim yg bersangkutan tidak di kenal"" satu kampung kenal gua.. itu kurir ngirimnya kemana.. payah kalah sama ekspedisi lain"
IJR Pulsa,Pos itu pengiriman paling parah... pesan barang via online status resi nya nyampe tujuan diterima tapi barang blm nyampe di tangan saya.. entah barang nyasar ke mana cek status resi barangfo terima orang rmh gak ada yg nerima.. pos itu pengiriman terparah.
BER MANA,medan sunggal bodoh kali pekerja di sana salah salur di lion parcel juga sama pernah hilang juga di sana paket langganan ku kemaren uang COD di makan di tilep
HadeJaya Channel,"saya salah satu pedagang si Oren.. TOLONG Adain pembayaran COD nya juga dong . supaya saya kirim paketnya pokus ke POs saja, alias tidak nganah ngeneh. Terimakasih"
sulpan almualip,"sistemnya kurang canggih karna saya mengalai order pengiriman sudah bayar pake qr tpi karna kiril lambat ambi saya cencel tapi uang ongkir tidak lahi masuk pospay malah hilang entah kemana , lapor halo pos tidak ada hasil sama sekali , sangat mengecewakan"
Janex Shikamaru,"Paket saya nginap di Kantor pos tanjung priok ga jelas kapan dikirim... niatnya mau pake pos biar mendukung ekspedisi legenda satu ini ternyata emang mengecewakan, lebih jelas pake ekspedisi lain walaupun bayar lebih mahal.."
Konco Fams,"woi paket saya mau di bawah kemana masa dari alamat pengirim ke penerima jarak waktu 2 jaman, paket saya di bawah muter"" kagak jeles yang benar saya lah pos Indonesia"
Nabilah Nurul Fathimah,"tolong ya pos Indonesia, paket dokumen saya sampai 3 hari belum sampai ditujuan. padahal saya menggunakan layanan next day dari Semarang ke Jogjakarta. keburu orang yg ada ditujuan gak ada di tempat dan saya harus keluar biaya lagi untuk print dokumennya. kecewa banget sama pos indonesia, yg diharapin bisa bantu dengan cepat ternyata malah bikin rencana berantakan."
E L B A,"request pu gak diambil , paket pembatalan otomatis uang ga di refund balas oe 3 paket tercansel ongkir gak dikembalikan"
Sela Seli,"bukankah pos indonesia jasa pengiriman yang paling pertama muncul, yang seharusnya paling bagus, cobalah biar lebih menarik tampilkan posisi paket menggunakan peta, jangan cuma menggunakan kalimat, gak ada kelebihannya dari toko online."
wijay yantio,"katanya pengiriman 6-7 hari, tp sehabis lebaran kemaren kirim paket sampai 20 hari lebih,,sangat gila, sampe skrg ntah paket sudah sampai/blom jg gak jelas keberadaanya"
Wahyu Nugraha,"paket saya malah mentok kaga pernah gerak,di cek resi barang telah di proses dan siap antar Tapi kaga pernah Dateng heran"
Kujang Mas,"kiriman bandung ke bogor pake yg expres,di tracking alamat tidak di temukan,padahal alamat sudah jelas sampai kode pos,no penerima juga sudah di cantumkan,padahal sesimple itu,ini kejadian ke dua kali nya,ga worth it kalau terus seperti ini"
Akhmad Sifah,"BENERIN SISTEM PRIVASI, DATA PRIBADI BISA KESEBAR GITU AJA, LEWAT PAKET, PADAHAL PAKET KETERANGAN MASIH DI GUDANG, TAPI DATA UDAH KEMANA"" ANEH! UDAH GITU GADA TANGGUNG JAWAB PULA DATA BOCOR MALAH CUMA DIBILANG HATI"""
Wawan Kurniawan,paket ku mutar mutar kambing pake sala jalur kirim lagi dh jelas jelas alamat nya. gak beres nih padahal dah dekat baget bisa-bisanya lewat gitu aja
Sweetndut Beauty,"informasi nya gak jelas, setiap lacak paket tidak jelas pemberi tahuannya (DI PIKIRNYA NGIRIM PAKET GAK PAKE DUIT KALI YA)"
Risca Tezcatlipoca,"saya kirim paket ambil yg ekspress 1 hari sampe tp sampai sekarang paket tidak sampai... padahal laporan sudah ditunggu dan paling lambat jam 12 siang ini,,gimana dong ini .. pengiriman sangat lambat"
Suryadin Hatoguan,"saya nungguin kode verifikasi sampai berkali-kali ngga dikirim-kirim. Cek resi dialihkan ke website pos Indonesia, berkas dari samsat Temanggung untuk saya statusnya on delivery (dari jam 11-an siang), ditunggu sampai malam ngga datang2"
iin utamii,"ga gunaa,paket udh sampe ke kurir pangantar ke rumah kok blum nympe rumah blm dianter udh dikasih keterangan orang nggda dirumah!!!LOL bgt,lama sampee!!!!!"
VIVI KOMARIYAH,"pernah mau kirim pos express di aplikasi bisa sampai kantor pos katanya kode eror dan alamat tujuan tidak bisa express, ongkir tidak kembali tapi Alhamdulillah kurirnya mau mengembalikan barang ke tempat saya lagi."
Angkringan Jogja,plat merah mah sat set kalo kerja.. di laporin dari 2 bulan lalu nggak juga di kerja2in.. gimana mau majuin indonesia plat merah kayak gini.
Ariestya,"Kurir ny pemalas,barang tidak dikirim kirim dengan status tidak ada orang,mata lo gk ada orang,kurir tidak ada inisiatif nlpn atau wa..kurir ny"
2M 5Z,akhirnya uninstall karena 2x pakai malah lambat proses pengirimannya. kalau tanpa aplikasi malah 1 hari jg dah sampai. berharap bs di pick up ternyata ga bisa padahal jarak kantor pos terdekat hany 500m saja. tracking jg di alihin ke web. jd buat apa aplikasi ini ya? mending manual aja lah
kakang kanda,"no resi Barang yg udah dikirim, tapi pas di cek tidak terdata. gimana mau bersaing dengan jasa pengiriman yg lain"
Mentari Fajar,Proses refund tidak sefleksibel expedisi lain. .refund harus ke kantor pos terdekat . .kantor posnya pun harus yg pusatnya . Kalau yg cabang ga bisa proses
losreni jesly,"aplikasi yang sangat jelek.. setelah pickup barang berhari hari gak ada update nya sama sekali,, saya sangat menyesal instal aplikasi ini..👎 aplikasi sampah"
Amal Btg,"Pengalaman pertama yang sangat sangat sangat buruk... Paket dri sulsel ke balikpapan, tapi ke surabaya dulu kemudian ke banjarmasin lanjut ke balikpapan. Dikirm tanggal 31-01-2025 sampai skrg belum ada nyampe. Dan posisi barang masih di Surabaya. Paket gue di bawa muter2 dooooong. Gila gila gilaaaaaaaaaa"
Alhy 1989,"Sjk prtama sy pakai aplikasi pos aja klo gak salah tahun 2021-2024,pengecekn tarif lumayan sangat membantu,setelah d update awal tahun 2025,pengecekn tarif tidak bisa d gunakan lagi,sungguh updatetan yg terburuk buat saya"
Juan Coco,"Saran saya tutup aja pos ini, suda banyak yg paket tidak sampai, Yg saya bingung di banding yg lain hanya numpang di pos tp bisa tepat waktu klw terlambat selisi 2-3hari tp pos mungkin bisa berminggu2"
Khoirul Irul,"Untuk pengalaman pertama saya tahun 2023 sampai tahun 2024 aplikasi baik-baik saja bahkan saya sering pakai COD dengan aplikasi ini tapi sayang di awal tahun 2025 ini kekonsistenan tersebut hilang karena sistem COD hanya bisa diinput di webnya saja Sungguh sayang sangat disayangkan jikalau tidak di-upgrade dan bahkan saya sangat kesulitan untuk input di webnya karena sudah terbiasa di aplikasi pos aja ini, seandainya boleh diusulkan mohon untuk di-upgrade dan diperbaharui semaksimal mungkn"
Dede alwi Almusadad,"Sya udah bayar untuk pengiriman lewat pos aja, padahal udah bayar tapi ga bsa di kirm harus manual katanya, jadi bayar 2 x dan yang bayar di apliksi uangnya hangus."
ozay kucay,TOLONG BISA COD LAGI. INI RIBET KALAU HARUS PAKE WEB. TOLONG YA.. SEGERA DI PERBAIKI. SAYA TINGGAL KAN JNT UNTUK INPUT COD PAKAI POS AJA. TAPI KOK KAYAK GINI. TOLONG SEGERA PERBAIKI. JANGAN SAMPAI PENJUAL PELANGGAN2 POS KAYAK SAYA BERALIH KE JNT ATAU EKPEDISI LAIN.. YG SUDAH BAIK TOLONG DI TINGKATKAN. JANGAN MUNDUR. MINIMAL PERTAHAN KAN YG SUDAH BAIK.. SARAN LAGI. TOLONG DI ADAKAN FITUR CARI DAFTAR ALAMAT YG SUDAH TERSIMPAN. SAYA PENJUAL ONLIN KASTOMER SAYA RIBUAN.. BIAR CEPAT
Afrida Nurlaila,Paket saya lama sekali sampainya...masa kurirnya gak tau alamat padahal di paket ada alamat lengkap....keterangan mau di antar kemaren siang sampai sekarang blm sampai ke rumah
Villy Tene,"Saya kasih bintang 1. Karena Saya kirim barang ke nabire estimasi katanya 1 minggu sy kirm tgl 18 desember 2024 sampai sekarang belum sampai sudah tgl 20 januari 2025. Sudah 1 bulan belum sampai buruk sekali pengiriman lewat pos, hilang kepercayaan. Saya bayar bukang gratis . 👎"
Faridatul wulan,Terburuk aplikasi di hp saya datanya cod tapi paket ke pelanggan bisa jadi non cod katanya aplikasi eror parah sekali kalau pelanggan gak jujur hilang deh tuh uangnya
Nita Kesayangan,Sangat buruk sekali pos janga gunakan pos skrg untuk mengirim sebuah keperluan data2 karna pegawai pos skrg kayak asuu anjin najis babi
blak 183,Kecewa....paket kilat/expres tapi nyampenya kaya reguler 3 hari.... Dah di bilang isi STNK&BPKB yang mau di perpanjang karna tgl 4 pajak habis...
sandi hukom,pengiriman cepat. cuma pelayanan kurir kurang ramah. khusus nya di kota Ternate pelayanan kurir nya sangat-sangat tidak ramah. mohon di tingkatkan lagi pelayanan kurir nya 🙏 kurir nya masih minim etitudnya 🙏
JMD DYT,Setiap daftar minta kode padahal baru masuk tapi sudh g vatid sudh ulang - ulang tetep aja gak valid .
Punyae Cinta,"Pengalaman buruk saat pertama menggunakan aplikasi ini, ongkir yg keluar dibayar tapi setelah divalidasi Ongkir kurang. Akhirnya transaksi dibatalkan dan uang ongkirnya tidak kembali. Nilai ongkir tidak seberapa tapi kesan pertama yg luar biasa"
chokien TM2,"PELAYANAN TERBURUK NO CALL CENTRE, SUSAH DI HUBUNGI EMAIL, LAMA RESPON LIVE CHAT CS, TIDAK ADA KATA NYA BUMN.... BUSUK SEMUA ISI NYA"
Khoiron AlFardi,"Saya sudah kirim dari hari kamis pakai pos kilat tapi sampai 5 hari kemudian ngga sampai sampai,rugi,bayar lebih sampai nya terlambat"
Arbani 1970,Verifikasi tidak valid. Verifikasi tidak valid. Verifikasi tidak valid. Verifikasi tidak valid. Verifikasi tidak valid. Mau daftar kok repot bangetttttttttt ngapai kirom kode verifikasi yg gak valid.. mauk banarr
akhmad zakynaufal,"kocakkk pos indonesia kocakkk tau ga kocakkk pengirimann darii cimahii ke jawa timur surabaya aja 1 minggu lebih belum dateng, hadehh bikin kesel aja tidak memuaskan samsek."
Sri Hartati,"Pelayanan Pos sekarang tambah gak bagus, saya ambil pengiriman ekspres dari Manado ke Jakarta, sampe 4 hari barangnya belum tiba di tujuan, padahal paketnya berupa makanan 😔"
Candra Andika (GUDANG SPRAYGUN),APLIKASI KEBANYAKAN KENDALA. Bayar booking sistem virtual account selalu gagal. Mending pakai yang lain aja lah. Pakai PosAja cari masalah aja....
faisol cuap,Pengiraman paket sangat lambat. Bisa 5 -7 hari sampai. Padahal masih dalam 1 kota. Sangat disayangkan.sekelas kantor pos kalah jauh dengan ekspedisi lain baik dalam pelayanan maupun pengiriman
Wasyudis Saputra,udah bayar ongkir yang mahal tetep ajaa lelet pengirimannya lama sampenya resi gak bisa di lacak rugi bangett pake pos
zakirah aisyahh,"Krim paket dari tgl 5 November blm sampai juga udh komplen ke admin pos nya mlh gk ada respon parahhh sihhh sy udh bayar mahal sengaja pengen cpt sampai paket nya urgent,, yg sehari sampai ehhh smpe skrng entah kmna paketnya,,"
Citra,"Baru download & mau registrasi, tapi pas masukin kode verifikasi yg dikirim via WA kok gabisa terus ya, muncul alert dan dibilang kode verifikasi tidak valid. Beberapa kali begitu"
lanang ing jagat,"Aplikasi abal-abal, dia yg ngirim kode verifikasi, dia juga yg nolak..entah produk BUMN apa yg bisa dibanggakan..hadeuuhh parahh, mending ga usah buat aplikasi deh klo cuma jd sarang bug dan kelemahan."
Indra Hermawan,"saran gua JANGAN INSTAL & JANGAN PAKE JASA PosAja! Bikin kapok orang, paket gua di yg dikirim dari kab.bogor ke suatu daerah di Tapung Hulu Kampar Riau, yg katanya 5 sudah sampai, tapi nyatanya sampai 8 terhitung dari gua mengulas disini MASIH BELUM sampai padahal gua butuh banget paket berkas tersebut. KAPOK, POS MENGECEWAKAN!!!!!!!!😡😠🤬 👎👎👎"
Anis Ida rahayu,"Maaf kenapa barang saya dari malaysia belum sampai jg, sy paket dr bln april sampai skrg blm sampai Saya kirim 2 kotak paket dan itupun sehari barengan, knp yg sampai rumah cm 1 paket sj, mohon penjelasannya"
Dingki Permana,"pengalaman pertama yang buruk, aplikasi ngefreeze ketika mau pilih metode pembayaran ga bisa di klik apapun, aplikasi di close lalu masuk lagi lihat history orderan ga ada pilihan untuk mendapatkan nomor va pembayaran hanya ada pilihan lacak pengiriman,cancel order, cetak resi, gimana mau bayar ? saya tanyakan ke admin di twitter di suruh cek secara berkala, niat mau hemat waktu dan ga perlu ribet keluar rumah karena paket akan di jemput oleh kurir malah buang2 waktu."
bekx zexxy,"bajigan lambat banget udah muter² lagi paketnya, ditambah pengantaran yg harusnya hari ini malah toko tutup gajelas banget, ga rekomendasi banget guys mending pake Jnt,JNE dll"
Linan ps24,"Download PosAja! Biar mudah ga perlu buka web trnyata tetep sama ajaa klo mau liat detail pengirimaan harus terhubung ke web, udah gitu gagal terus kalo mauu ngecekk. TOLONGG DIPERBARUI LAGI Y"
Gegee,"Pengirimannya lama banget, padahal sekelas reguler tapi paket masih muter2 aja gak nyampe2, malah duluan nyampe jasa pengiriman yang lain padahal paket hemat. Sorry pelayanan anda kurang memuaskan klo bisa malah mending gak udah dirating ini mah"
Devy Roy Irawan,"Aplikasi ribet kurang simple/ ribet sekedar cek ongkir data lengkap, kurang efisien bagi kami pedagang online bila ditanya konsumen ..."
Arif Rahman Sayuti (Arif),Ada gak ya bintang minus 1... Pos adalah jasa kirim terburuk yg pernah saya pakai. Pengiriman jarak 90KM butuh waktu berhari-hari (5hari). Jauh lebih baik jasa ekspedisi lain
Khalid Said,Ini sudah ganti pin bolak balik gak bisa masuk. Ada apa ya? kok selalu aplikasi ini erorr. Jadi gak bisa saya pakai. Mau verfikasi pin baru juga lama sekali. Apa sistem ini masalah ya?
Velia id,Verif gagal mulu padahal sesuai mana bosa daftar klo ga bsa masukin kode sdh gnti no hp pula msh gagal..
Ghaniy Bekti kurniawan,Udah download daftar masukan no telfon udh dapat code verifikasi giliran masukan kode ko keteranganya kode tidak vailed haduh tolong di perbaiki
Rizki Mimbar,"jasa pengiriman nya terlalu mahal..masa pengiriman sesama Sulawesi ongkir nya Rp.98.000. padahal pengiriman dari Sulawesi tengah ke Sulawesi Utara. nomor kurir nya juga tidak di cantumkan di dalam detail pengiriman,malah kode kurir nya bukan nomor hp kayak di aplikasi sebelah."
pap dil,"Gara gara pak pos ini ni,PKH terlambat disalurkan,kenapa harus lewat pos,udah gitu ngambil nya juga harus di kantor,di jam sekian sekian ga bisa diwakilkan.."
Anoind Anoind,"Aplikasi ekspedisi paling terbadut di Indonesia, no telp kurir gak ada... Paket nyampe bukannya konfirmasi... G da orang di bawa lagi bukannya di taro di drop box.. Punya pemerintah tapi di isi manajemen KOLOT"
Samudra Cinta,Lama lama pos TDK aman untuk pengiriman barang.kuril nya suka lambat kerja paling aneh kuril Surabaya lambat pengantaran barang... bingung sy.padahal sya langganan kirim barang loh di pos sekecil apa pun tetap dari pos sakirim barang.ini barang sampai 5 hari di gudang belum di anter kan beda dengan pos Karawang hari Sabtu atou hari Minggu tetap di antar BRG kita..
PARMI PACITAN,"Enak sich pakai pos....pelayanan ramah cuma saya tidak suka kurirnya klo kirim barang main returt aja...pdhal ada no tlp juga udah di tunggu pelanggan....alasan pasti tidak menemukan alamat, lha terus gunanya no tlp buat apa...klo gk ketemu khan bisa di hubunggi"
Noparyanto Adysaputro,"POIN POS AJA TIDAK BISA DI KAPAI SAMPE POIN SAYA SUDAH 500LEBIH, TOLONG DI TIDAK LANJUTI APLIKASI DAN DI PERBARUI AGAR POINNYA BISA DI PAKAI.TKS"
Syarah Amirotul Khusna,gak jelas!!! masih banyak yg perlu di perbaiki. banyak sekali bug n eror nya ! terutama untuk kode verifikasi kenapa yg di berikan ke wa kita dengan yg kita bubuhkan ke kotak otp tidak singkron???
whyhdayt,Paket saya ga sampe sampe dari tanggal 1 keterangan alamat belom di temukan tapi di sampe hari ini ga di antar ulang dan saya tanya tidak ada respon
Destya Arfarani Hendrajaya,"mau bayar ga bisa bisa. tapi di riwayat udah masuk orderannya dan di notif mau bayar ga ada nomer order. aplikasi paling ga jelas, minus banget."
dion wiyokoh,Sangat kecewa barang dah sampai di sortir 2 hari belum di antar setelah saya cek malah salah salur kiriman jadi nyesel pake jasa kirim pos
Riski Adil,Masih banyak bug dan error nya. Petugas dilapangan sepertinya tidak di briefing cara penggunaan dan alur kerja dari Aplikasi sehingga user yang direpotkan. Sekelas Aplikasi BUMN tapi hasilnya jauh dari kata efektif. Sangat disayangkan karena kesalahan/bug aplikasi dan kurangnya pelatihan petugas seakan akan malah user yang disalahkan. Kalau ada nilai minus maka akan saya kasih nilai minus ⭐️ 5
Hendra Setiawan,Si kurir kantor pos buat laporan Paket saya sudah di kirim dan saya sendiri penerimaan nya.. Padahal sampai malam ini gak ada terima paket saya.. Tolong mana bukti pengirimannya?? Dan saya tanyakan sama keluarga saya tidak ada terima paket dari kantor pos???
Mariyeh,"Siapapun tolong jangan instal App tidak berguna ini, sebab kamu hanya akan buang2 kuota dan waktu. Meski kamu install akan percuma Sistem loginnya ribet dan tidak akan berhasil. Belum juga login sudah minta perbaharui, dan pemulihan akun. Ini APP yang tidak paling berguna yang saya punya. Padahal mau cek resi paket yang sudah lama ga ada kabarnya"
_MAZBROW OFFICIAL,"Baru x ini pakek PosAja, paket gak jelas sudah sampe mana. Dan harga nya gak jauh beda per Kg nya Sama j&t. Saran saya pakek yang lain saja kalau mau kirim paket atau apa itu. Pelayanan lemot"
Firdaus Dharma22,"sistem update nya lama udah gitu eror, pengembalian dananya jga lama banget, kurang bagus buat di pake online apk nya"
ika prawira,Knp ya skrg resi Pos saya tdk bs d cek Dan aplikasi pos juga g menerima no otpx stlh d masukkan???
Fauziyah Kamilah,Kecewa bnget sama. Pihak. Pos daerah depok. Sukmajaya. Gak. Tau. Kurirnya gak. Tau. Siapa. Yg. Salah barang udh. Nyampe. Dri. Selasa skrng. Hri. Jumat. Uang. Tfan. Nya. Blm. Masuk juga
